,student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
8957,8958,18,male,public,diploma,6.9,60.6,yes,15-30 min,no,online videos,68.3,82.0,70.7,79.9,c
8958,8959,16,female,private,diploma,5.6,81.6,yes,15-30 min,no,coaching,52.4,74.6,60.8,68.0,d
8959,8960,19,other,public,graduate,0.7,93.0,yes,15-30 min,no,notes,49.4,27.1,16.4,34.4,f
8960,8961,16,other,private,no formal,1.4,62.1,no,<15 min,yes,group study,51.4,37.7,38.6,40.4,e
8961,8962,16,female,private,no formal,4.8,91.0,yes,<15 min,no,coaching,77.6,90.6,69.0,72.5,c
8962,8963,19,male,private,no formal,6.2,97.5,yes,<15 min,yes,coaching,82.1,97.1,76.4,90.6,b
8963,8964,17,male,public,high school,1.4,96.8,yes,30-60 min,no,mixed,40.2,63.1,51.6,49.5,e
8964,8965,19,female,private,graduate,4.3,57.1,yes,<15 min,yes,mixed,46.3,61.5,54.8,59.5,d
8965,8966,18,female,private,no formal,5.3,52.4,yes,<15 min,yes,notes,66.6,61.4,72.8,67.9,d
8966,8967,18,male,public,phd,3.5,86.3,no,>60 min,yes,group study,57.2,59.9,65.6,52.9,e
8967,8968,15,male,private,diploma,5.7,69.1,no,15-30 min,yes,notes,73.9,74.2,73.7,78.5,c
8968,8969,16,female,private,high school,3.1,58.9,no,<15 min,no,textbook,71.1,42.7,69.3,55.8,d
8969,8970,19,male,public,phd,5.2,72.4,yes,30-60 min,yes,notes,53.4,66.7,73.1,75.3,c
8970,8971,17,female,private,high school,6.2,77.1,yes,30-60 min,no,mixed,86.2,81.7,85.4,78.0,c
8971,8972,15,male,private,high school,7.7,58.1,yes,<15 min,yes,mixed,77.1,77.2,84.3,78.3,c
8972,8973,15,male,public,diploma,5.3,51.9,yes,15-30 min,yes,mixed,72.3,68.0,60.3,71.6,c
8973,8974,18,male,private,no formal,3.1,89.1,no,>60 min,yes,notes,29.2,53.9,59.3,58.0,d
8974,8975,15,female,private,post graduate,5.9,72.8,yes,15-30 min,no,online videos,71.5,78.0,81.5,78.8,c
8975,8976,14,male,private,post graduate,6.5,62.2,yes,30-60 min,no,coaching,72.6,97.0,92.7,84.7,c
8976,8977,18,female,private,diploma,3.6,97.8,yes,>60 min,yes,group study,74.3,42.9,61.6,61.4,d
8977,8978,15,other,public,phd,3.2,88.0,no,30-60 min,yes,notes,47.8,56.4,54.2,54.0,e
8978,8979,18,other,public,no formal,1.6,70.1,no,<15 min,no,online videos,12.2,42.4,20.6,31.2,f
8979,8980,17,other,private,graduate,5.6,63.6,no,30-60 min,yes,textbook,82.9,81.8,82.3,79.7,c
8980,8981,19,other,private,post graduate,3.8,86.5,yes,30-60 min,yes,online videos,78.1,73.0,56.6,68.3,d
8981,8982,17,other,public,diploma,1.5,86.2,no,>60 min,no,mixed,60.3,64.4,53.0,53.6,e
8982,8983,19,other,public,phd,4.7,94.2,no,>60 min,yes,coaching,77.1,68.9,79.7,77.5,c
8983,8984,19,male,private,diploma,7.9,50.7,yes,30-60 min,no,group study,96.0,89.9,100.0,88.5,b
8984,8985,15,female,private,phd,0.9,81.5,no,15-30 min,yes,mixed,34.7,32.8,25.8,44.7,e
8985,8986,19,other,public,graduate,4.4,64.1,yes,>60 min,yes,coaching,55.9,60.6,63.1,53.0,e
8986,8987,18,other,private,high school,7.5,98.7,yes,15-30 min,yes,group study,96.6,100.0,100.0,92.0,b
8987,8988,14,female,public,post graduate,7.7,51.2,yes,15-30 min,no,coaching,76.0,82.4,75.3,76.0,c
8988,8989,14,male,private,no formal,3.1,74.4,yes,30-60 min,no,mixed,42.9,37.0,53.0,46.8,e
8989,8990,15,male,private,high school,1.8,85.5,yes,15-30 min,yes,group study,32.4,67.2,37.7,41.9,e
8990,8991,14,female,private,post graduate,3.7,87.6,yes,15-30 min,no,group study,64.7,81.6,57.9,70.9,c
8991,8992,16,other,public,phd,2.9,81.7,yes,30-60 min,yes,mixed,66.6,47.9,69.0,55.8,d
8992,8993,19,female,public,diploma,4.1,73.6,yes,15-30 min,no,textbook,48.3,57.4,56.6,55.7,d
8993,8994,16,male,public,graduate,5.0,95.5,yes,15-30 min,no,coaching,82.9,81.9,91.6,86.5,b
8994,8995,14,other,public,post graduate,6.3,78.8,yes,15-30 min,yes,mixed,87.7,81.5,60.8,81.1,c
8995,8996,16,female,private,post graduate,5.3,76.1,yes,15-30 min,no,group study,67.8,90.0,82.7,81.4,c
8996,8997,15,female,private,phd,7.2,92.9,no,30-60 min,no,coaching,79.2,83.7,75.2,87.6,b
8997,8998,19,other,public,no formal,6.0,72.2,yes,<15 min,no,notes,48.9,55.9,84.5,67.3,d
8998,8999,14,female,private,high school,4.4,80.4,no,>60 min,yes,group study,95.7,61.4,79.0,74.7,c
8999,9000,18,female,private,phd,1.4,66.5,yes,15-30 min,no,mixed,30.5,33.6,40.3,33.8,f
9000,9001,16,other,private,graduate,6.5,60.6,yes,>60 min,no,online videos,83.1,85.3,62.6,77.1,c
9001,9002,14,female,private,graduate,5.9,73.0,yes,15-30 min,no,notes,95.6,57.1,82.5,73.7,c
9002,9003,18,female,public,diploma,3.0,66.8,yes,30-60 min,no,online videos,46.1,58.9,61.1,59.7,d
9003,9004,16,female,public,diploma,2.2,51.9,yes,>60 min,no,mixed,28.3,29.5,39.6,29.4,f
9004,9005,18,other,private,high school,5.4,74.3,yes,>60 min,no,online videos,63.9,62.9,77.4,69.8,d
9005,9006,17,male,private,diploma,1.1,82.8,yes,30-60 min,no,notes,39.5,30.0,58.9,42.9,e
9006,9007,18,male,private,no formal,6.4,52.6,no,15-30 min,no,coaching,82.3,83.8,80.1,82.0,c
9007,9008,16,other,private,high school,2.2,78.4,yes,15-30 min,yes,mixed,54.9,44.1,49.8,40.8,e
9008,9009,14,female,public,phd,5.0,65.5,yes,30-60 min,yes,textbook,62.4,56.0,56.9,56.6,d
9009,9010,14,male,private,no formal,2.8,52.0,no,30-60 min,yes,group study,65.2,48.6,37.3,48.7,e
9010,9011,16,female,public,post graduate,4.1,54.8,yes,30-60 min,no,online videos,51.6,47.2,54.5,50.7,e
9011,9012,16,male,private,no formal,6.5,85.8,yes,<15 min,no,coaching,78.0,81.8,72.9,83.7,c
9012,9013,18,female,private,post graduate,2.7,77.0,yes,30-60 min,no,group study,70.0,77.3,61.9,58.8,d
9013,9014,16,male,private,high school,0.7,97.8,yes,15-30 min,yes,mixed,36.3,44.6,35.0,42.3,e
9014,9015,19,female,public,post graduate,1.1,84.1,yes,30-60 min,yes,group study,46.8,53.9,43.1,46.0,e
9015,9016,15,other,private,diploma,1.1,98.1,no,15-30 min,no,group study,48.4,34.0,32.0,42.7,e
9016,9017,16,male,private,post graduate,3.9,64.3,yes,30-60 min,no,mixed,70.2,52.6,78.8,61.3,d
9017,9018,18,other,public,post graduate,1.1,79.1,yes,<15 min,no,mixed,42.7,44.6,35.8,43.4,e
9018,9019,14,male,private,graduate,3.6,77.9,yes,30-60 min,no,online videos,70.0,55.6,61.0,62.6,d
9019,9020,15,female,private,post graduate,5.7,76.2,yes,>60 min,no,coaching,73.9,70.8,78.0,80.6,c
9020,9021,18,other,public,phd,7.1,94.9,yes,<15 min,no,notes,91.1,86.2,94.4,94.4,b
9021,9022,17,other,public,graduate,2.2,76.4,yes,15-30 min,yes,coaching,47.4,36.9,32.3,42.2,e
9022,9023,18,male,private,high school,7.1,63.2,yes,>60 min,no,mixed,82.4,100.0,81.4,82.2,c
9023,9024,17,male,public,no formal,7.8,85.1,yes,15-30 min,no,group study,80.6,100.0,89.2,87.5,b
9024,9025,19,other,private,graduate,5.2,63.2,yes,30-60 min,yes,group study,81.7,85.1,75.0,73.1,c
9025,9026,19,other,public,diploma,6.0,54.2,yes,30-60 min,no,coaching,79.0,88.6,90.7,76.9,c
9026,9027,19,female,public,graduate,4.1,79.4,no,30-60 min,yes,textbook,41.5,64.6,62.8,56.4,d
9027,9028,14,male,private,post graduate,1.1,56.9,no,30-60 min,no,mixed,37.1,18.5,51.9,32.8,f
9028,9029,17,female,private,high school,7.7,85.7,no,<15 min,no,notes,97.4,100.0,92.5,92.2,b
9029,9030,14,female,public,post graduate,7.6,71.9,yes,>60 min,yes,notes,85.9,69.8,85.7,86.4,b
9030,9031,15,female,private,phd,2.9,93.3,no,30-60 min,no,notes,57.4,70.4,45.2,54.9,e
9031,9032,15,male,public,high school,2.0,70.2,yes,30-60 min,no,coaching,53.8,47.2,37.0,42.0,e
9032,9033,17,male,private,phd,1.0,69.8,yes,<15 min,yes,notes,25.9,35.3,45.3,43.3,e
9033,9034,16,other,public,phd,4.2,71.4,yes,>60 min,no,notes,73.4,68.8,63.0,64.7,d
9034,9035,19,male,private,diploma,7.4,85.7,yes,>60 min,yes,group study,75.4,89.9,100.0,100.0,a
9035,9036,15,other,public,post graduate,0.8,57.8,yes,30-60 min,yes,group study,20.2,25.8,27.1,27.5,f
9036,9037,17,female,private,phd,5.1,67.1,no,<15 min,no,coaching,54.5,71.8,62.8,72.5,c
9037,9038,18,female,private,phd,6.8,63.4,yes,>60 min,no,online videos,86.8,69.2,61.2,72.5,c
9038,9039,19,other,private,diploma,3.3,69.4,yes,15-30 min,no,group study,47.9,69.0,70.4,51.0,e
9039,9040,15,male,public,graduate,5.1,95.6,yes,15-30 min,yes,mixed,80.2,86.7,84.9,80.5,c
9040,9041,18,other,private,graduate,3.8,81.6,yes,15-30 min,yes,coaching,61.0,69.9,55.5,64.1,d
9041,9042,14,male,public,diploma,1.0,75.2,yes,<15 min,no,coaching,36.2,32.9,55.9,37.8,f
9042,9043,17,female,private,graduate,4.3,56.5,yes,<15 min,no,coaching,63.8,62.6,62.1,65.1,d
9043,9044,16,female,private,phd,1.2,78.8,yes,15-30 min,yes,mixed,50.8,51.9,25.4,41.9,e
9044,9045,19,female,public,no formal,5.6,89.9,yes,30-60 min,yes,mixed,91.5,83.6,79.2,88.8,b
9045,9046,18,male,public,phd,2.8,68.0,yes,30-60 min,yes,online videos,32.0,34.5,37.7,39.6,f
9046,9047,19,other,public,diploma,6.5,95.1,yes,15-30 min,yes,online videos,80.0,98.4,94.2,97.1,a
9047,9048,19,male,public,post graduate,4.9,67.6,yes,15-30 min,yes,coaching,71.0,61.8,61.8,59.0,d
9048,9049,16,female,private,no formal,7.5,58.0,no,>60 min,no,textbook,89.7,82.0,100.0,85.0,b
9049,9050,18,female,private,phd,6.0,91.4,yes,<15 min,yes,coaching,84.8,84.0,84.3,87.8,b
9050,9051,14,female,public,diploma,5.9,78.3,yes,<15 min,no,coaching,96.9,73.4,86.8,86.7,b
9051,9052,17,female,private,phd,2.8,75.8,yes,15-30 min,no,notes,70.6,56.2,42.0,48.8,e
9052,9053,14,other,public,diploma,3.8,96.3,yes,15-30 min,no,online videos,64.3,57.0,64.7,63.8,d
9053,9054,18,other,public,post graduate,6.1,91.2,yes,15-30 min,yes,notes,100.0,92.5,100.0,93.0,b
9054,9055,19,male,private,graduate,5.9,99.6,no,<15 min,yes,textbook,84.5,59.1,70.1,84.1,c
9055,9056,18,female,private,high school,5.7,84.6,yes,30-60 min,yes,notes,100.0,91.2,63.1,84.2,c
9056,9057,19,female,private,high school,0.6,79.0,yes,30-60 min,yes,mixed,28.8,38.3,16.2,27.6,f
9057,9058,15,female,private,graduate,0.6,76.9,yes,15-30 min,no,online videos,22.3,33.7,13.8,26.5,f
9058,9059,19,other,public,diploma,1.0,67.8,yes,>60 min,yes,online videos,54.3,48.4,42.8,40.8,e
9059,9060,17,female,private,graduate,0.7,59.0,no,<15 min,no,textbook,21.0,17.1,31.0,19.6,f
9060,9061,18,female,public,post graduate,6.3,91.3,yes,15-30 min,yes,online videos,84.0,100.0,85.5,83.5,c
9061,9062,18,male,public,post graduate,4.6,50.3,no,15-30 min,yes,notes,59.1,48.2,56.8,50.5,e
9062,9063,17,female,public,no formal,4.3,94.4,yes,15-30 min,no,coaching,74.1,89.7,75.9,74.9,c
9063,9064,15,female,private,diploma,1.1,63.1,yes,<15 min,yes,group study,12.7,25.3,26.6,30.2,f
9064,9065,17,female,public,no formal,6.3,62.0,yes,>60 min,no,textbook,67.3,89.0,73.0,70.7,c
9065,9066,17,other,private,graduate,1.2,50.4,yes,30-60 min,yes,coaching,30.9,37.7,23.2,37.0,f
9066,9067,19,male,public,graduate,2.2,68.0,yes,>60 min,no,notes,26.6,26.2,58.6,35.2,f
9067,9068,16,male,private,phd,6.6,54.4,yes,15-30 min,yes,notes,79.3,47.4,66.8,68.7,d
9068,9069,17,female,public,diploma,5.7,59.2,yes,30-60 min,yes,notes,66.7,66.6,66.7,71.5,c
9069,9070,17,male,private,diploma,1.2,84.4,yes,30-60 min,no,coaching,30.4,44.7,26.6,35.1,f
9070,9071,14,other,private,graduate,1.1,70.8,yes,30-60 min,yes,mixed,41.1,34.0,41.6,41.8,e
9071,9072,14,other,private,no formal,3.5,50.5,yes,15-30 min,no,online videos,57.9,39.0,58.6,54.6,e
9072,9073,14,female,public,no formal,5.0,65.8,no,30-60 min,no,coaching,80.1,73.5,76.6,75.3,c
9073,9074,17,female,private,post graduate,2.4,50.3,no,30-60 min,yes,notes,47.5,62.6,46.3,45.9,e
9074,9075,16,male,public,high school,4.9,95.8,yes,<15 min,no,group study,84.7,99.8,77.1,83.1,c
9075,9076,19,female,public,diploma,3.2,93.0,yes,<15 min,no,coaching,44.3,23.1,56.7,55.8,d
9076,9077,18,other,public,phd,4.9,67.7,no,>60 min,yes,mixed,61.8,62.8,76.1,56.9,d
9077,9078,14,other,public,high school,5.9,62.0,yes,30-60 min,no,mixed,62.1,76.6,67.7,71.8,c
9078,9079,14,other,public,phd,6.8,55.3,yes,30-60 min,yes,notes,92.9,67.0,92.9,81.4,c
9079,9080,16,female,private,graduate,2.0,85.3,yes,<15 min,no,textbook,39.0,41.4,38.1,41.8,e
9080,9081,19,female,private,high school,1.1,56.0,yes,>60 min,yes,coaching,26.8,57.9,39.3,39.8,f
9081,9082,14,male,public,phd,1.4,83.5,yes,>60 min,no,textbook,48.0,49.4,56.1,45.8,e
9082,9083,15,other,public,graduate,1.7,62.9,yes,15-30 min,yes,group study,41.5,46.6,9.3,33.7,f
9083,9084,14,other,private,high school,2.9,86.5,yes,>60 min,no,notes,60.3,50.6,70.6,63.7,d
9084,9085,16,female,public,diploma,0.7,69.7,no,30-60 min,yes,textbook,32.9,35.4,17.8,26.4,f
9085,9086,19,other,private,diploma,6.7,56.8,no,30-60 min,yes,mixed,80.9,65.8,66.2,66.7,d
9086,9087,18,male,private,phd,6.9,63.9,no,<15 min,yes,notes,79.8,73.1,79.1,76.5,c
9087,9088,16,male,private,diploma,5.8,84.5,yes,<15 min,yes,mixed,69.9,74.5,95.5,82.8,c
9088,9089,14,female,public,no formal,3.2,84.3,yes,15-30 min,yes,coaching,63.2,57.4,65.0,63.4,d
9089,9090,16,male,public,post graduate,5.8,79.9,yes,15-30 min,no,mixed,69.6,74.8,77.8,74.5,c
9090,9091,17,male,private,post graduate,4.8,66.2,no,30-60 min,yes,online videos,35.5,49.3,44.2,54.9,e
9091,9092,15,other,private,diploma,5.5,81.8,yes,<15 min,no,coaching,64.9,87.4,67.6,78.6,c
9092,9093,18,female,public,phd,1.2,52.1,yes,<15 min,no,group study,48.7,9.5,32.7,30.5,f
9093,9094,19,female,private,diploma,7.1,80.2,yes,<15 min,yes,textbook,84.4,97.7,93.9,88.1,b
9094,9095,15,other,private,high school,3.1,89.1,yes,30-60 min,yes,notes,60.1,44.8,73.4,62.1,d
9095,9096,15,female,private,post graduate,2.5,56.9,yes,30-60 min,yes,mixed,27.9,31.5,44.3,40.2,e
9096,9097,14,female,private,no formal,3.4,90.8,no,>60 min,yes,online videos,91.9,80.8,65.3,71.8,c
9097,9098,18,female,private,phd,2.4,95.3,no,30-60 min,yes,mixed,69.1,74.5,66.0,65.1,d
9098,9099,16,female,public,post graduate,8.0,98.0,yes,<15 min,no,mixed,96.6,100.0,94.8,100.0,a
9099,9100,15,other,public,high school,5.3,51.5,yes,30-60 min,no,mixed,67.1,68.9,49.9,59.2,d
9100,9101,15,female,private,no formal,7.2,94.8,no,<15 min,yes,coaching,100.0,92.5,82.4,89.7,b
9101,9102,14,female,private,graduate,7.6,53.2,yes,<15 min,no,notes,62.2,81.0,68.7,82.8,c
9102,9103,16,female,public,graduate,4.9,69.0,yes,<15 min,no,mixed,83.6,67.7,61.2,71.4,c
9103,9104,18,male,public,post graduate,6.5,77.4,yes,<15 min,no,coaching,74.2,81.9,67.6,83.1,c
9104,9105,15,male,public,high school,7.3,61.1,yes,>60 min,no,group study,75.3,92.4,99.4,91.7,b
9105,9106,14,male,private,high school,1.6,67.2,yes,15-30 min,yes,online videos,56.1,33.0,22.2,35.7,f
9106,9107,16,male,private,diploma,2.5,95.4,no,15-30 min,yes,coaching,55.5,43.7,44.8,52.1,e
9107,9108,18,female,public,post graduate,3.5,58.8,yes,15-30 min,no,coaching,47.7,38.8,48.2,54.3,e
9108,9109,16,other,public,phd,5.2,76.9,yes,<15 min,no,notes,87.9,59.9,74.3,69.2,d
9109,9110,15,other,public,diploma,6.3,91.3,yes,<15 min,yes,notes,80.7,95.6,87.9,85.4,b
9110,9111,14,other,public,no formal,3.1,62.1,yes,>60 min,yes,coaching,45.8,53.5,58.0,55.9,d
9111,9112,18,female,public,no formal,6.8,96.8,yes,>60 min,yes,textbook,96.9,82.7,71.0,88.0,b
9112,9113,19,male,public,graduate,5.4,99.0,yes,>60 min,no,textbook,68.5,93.7,86.0,84.4,c
9113,9114,18,female,public,no formal,3.3,63.3,yes,<15 min,yes,mixed,60.1,58.8,55.0,59.7,d
9114,9115,17,other,private,post graduate,5.6,73.7,yes,30-60 min,no,textbook,54.4,73.0,58.7,68.8,d
9115,9116,18,other,private,no formal,6.9,50.6,yes,15-30 min,yes,textbook,68.5,75.8,76.3,79.6,c
9116,9117,16,other,public,diploma,3.0,98.0,no,>60 min,no,notes,68.4,59.5,55.5,62.6,d
9117,9118,14,female,private,post graduate,3.4,56.9,yes,>60 min,yes,notes,37.8,36.3,25.6,47.5,e
9118,9119,16,female,private,diploma,5.7,71.4,yes,15-30 min,no,mixed,78.2,69.9,74.7,70.1,c
9119,9120,18,female,public,post graduate,3.7,83.6,yes,>60 min,yes,mixed,37.7,51.7,43.6,59.3,d
9120,9121,17,male,public,diploma,1.8,82.5,yes,15-30 min,no,mixed,49.3,42.3,67.0,51.5,e
9121,9122,19,male,public,post graduate,6.9,82.6,yes,15-30 min,no,group study,85.4,92.3,72.0,90.9,b
9122,9123,19,male,private,diploma,2.0,50.9,yes,30-60 min,yes,mixed,24.1,27.3,34.3,26.5,f
9123,9124,15,other,private,post graduate,2.3,86.7,yes,30-60 min,yes,mixed,50.4,47.0,53.3,54.8,e
9124,9125,14,male,private,phd,7.0,87.3,yes,>60 min,yes,notes,97.8,91.1,100.0,94.1,b
9125,9126,15,other,public,diploma,5.3,77.3,no,>60 min,no,group study,80.0,74.6,60.0,75.9,c
9126,9127,19,female,public,high school,3.7,86.6,yes,>60 min,no,group study,61.0,76.6,76.5,65.0,d
9127,9128,18,other,public,phd,3.4,50.0,yes,<15 min,no,online videos,35.2,24.7,50.1,40.5,e
9128,9129,14,male,public,post graduate,1.9,58.3,yes,>60 min,no,coaching,41.7,49.9,36.4,37.6,f
9129,9130,14,male,public,phd,1.0,53.7,no,30-60 min,yes,notes,29.9,34.5,36.0,24.6,f
9130,9131,17,male,public,diploma,7.3,65.6,yes,>60 min,yes,online videos,57.3,79.7,69.6,79.5,c
9131,9132,17,female,private,diploma,0.8,60.2,yes,>60 min,yes,mixed,18.5,36.8,36.7,32.3,f
9132,9133,19,female,public,no formal,1.0,59.3,yes,15-30 min,no,group study,12.5,30.2,18.2,25.0,f
9133,9134,18,male,private,post graduate,6.1,71.0,yes,>60 min,no,textbook,69.8,60.6,73.6,74.5,c
9134,9135,15,other,public,phd,7.2,81.2,yes,<15 min,yes,online videos,75.1,97.2,100.0,94.7,b
9135,9136,14,other,public,post graduate,5.8,77.2,yes,>60 min,yes,notes,87.0,78.5,79.6,82.6,c
9136,9137,17,male,public,high school,2.3,91.8,yes,>60 min,no,group study,52.9,44.1,56.7,62.8,d
9137,9138,17,male,private,diploma,2.5,69.7,yes,30-60 min,yes,mixed,61.1,46.1,50.5,54.1,e
9138,9139,19,other,private,diploma,7.7,70.4,yes,30-60 min,no,textbook,75.9,93.7,80.0,82.8,c
9139,9140,17,female,private,no formal,5.8,50.5,yes,30-60 min,yes,mixed,70.4,59.8,61.0,61.8,d
9140,9141,17,other,private,no formal,6.7,88.0,yes,>60 min,yes,online videos,83.6,96.5,92.7,87.4,b
9141,9142,15,other,private,diploma,3.8,80.1,yes,<15 min,no,mixed,67.0,71.9,70.6,69.3,d
9142,9143,14,other,private,graduate,6.3,56.3,yes,15-30 min,yes,notes,69.7,49.7,70.7,63.2,d
9143,9144,19,male,private,phd,7.9,59.6,yes,>60 min,yes,notes,87.5,100.0,92.8,92.6,b
9144,9145,18,female,private,phd,3.2,58.6,yes,>60 min,no,mixed,39.2,64.3,36.8,56.0,d
9145,9146,14,female,private,post graduate,2.9,70.4,yes,>60 min,no,coaching,36.1,47.7,51.4,52.7,e
9146,9147,18,other,public,phd,0.8,51.9,yes,15-30 min,no,mixed,27.7,3.4,26.0,18.2,f
9147,9148,16,male,private,post graduate,6.0,88.9,yes,15-30 min,yes,mixed,71.6,83.0,100.0,84.7,c
9148,9149,16,male,private,graduate,2.3,65.9,yes,30-60 min,yes,textbook,36.3,34.8,18.3,40.9,e
9149,9150,19,female,private,phd,2.4,95.9,yes,>60 min,no,mixed,67.6,52.6,51.5,53.8,e
9150,9151,19,other,public,phd,5.2,63.6,yes,30-60 min,yes,notes,58.3,76.9,71.7,64.5,d
9151,9152,15,other,public,high school,6.0,68.3,yes,<15 min,yes,mixed,58.5,77.0,62.8,66.4,d
9152,9153,15,female,public,high school,3.6,96.0,yes,<15 min,no,textbook,63.8,70.0,47.3,61.8,d
9153,9154,18,female,private,phd,7.6,58.4,yes,>60 min,no,mixed,97.4,89.8,81.5,84.4,c
9154,9155,19,male,public,no formal,1.7,92.3,yes,<15 min,no,textbook,63.7,45.8,49.0,47.4,e
9155,9156,14,other,private,graduate,4.5,57.6,yes,30-60 min,no,mixed,57.1,77.4,69.9,65.2,d
9156,9157,19,male,public,diploma,5.1,74.8,yes,30-60 min,yes,textbook,83.2,69.0,56.3,77.9,c
9157,9158,16,male,public,post graduate,5.1,93.7,yes,<15 min,no,group study,68.8,63.5,76.7,70.2,c
9158,9159,17,female,private,phd,5.4,58.0,no,15-30 min,yes,textbook,71.9,77.9,79.8,73.0,c
9159,9160,14,female,public,high school,5.3,51.9,yes,15-30 min,no,mixed,76.3,93.6,72.1,72.0,c
9160,9161,18,female,public,high school,6.4,62.0,yes,<15 min,no,textbook,75.8,71.1,64.5,72.7,c
9161,9162,18,other,public,high school,6.6,63.1,yes,30-60 min,yes,coaching,64.7,86.5,90.9,75.4,c
9162,9163,17,male,public,post graduate,7.8,70.4,yes,15-30 min,yes,textbook,81.5,81.3,88.6,92.2,b
9163,9164,18,other,public,diploma,7.5,87.2,yes,30-60 min,no,group study,100.0,94.3,93.2,91.6,b
9164,9165,19,male,private,graduate,4.4,52.4,no,30-60 min,no,online videos,60.1,72.3,68.6,65.8,d
9165,9166,19,male,public,diploma,5.8,78.6,yes,15-30 min,no,online videos,87.5,90.4,89.3,82.0,c
9166,9167,18,male,private,post graduate,3.5,86.3,no,15-30 min,yes,coaching,67.7,50.4,53.0,53.0,e
9167,9168,19,other,public,no formal,5.4,90.4,yes,<15 min,yes,group study,77.6,73.6,80.8,79.7,c
9168,9169,18,other,public,diploma,0.6,98.3,yes,<15 min,yes,online videos,51.5,26.6,37.1,37.7,f
9169,9170,18,other,public,high school,3.3,91.3,yes,<15 min,no,coaching,57.4,62.6,50.6,64.1,d
9170,9171,17,male,public,graduate,7.4,55.2,yes,<15 min,yes,notes,96.8,100.0,71.2,86.5,b
9171,9172,18,other,private,graduate,5.6,58.8,yes,>60 min,no,notes,67.7,64.0,74.3,66.8,d
9172,9173,14,male,private,post graduate,0.6,86.0,yes,<15 min,yes,notes,27.3,54.9,30.2,30.0,f
9173,9174,17,female,public,phd,4.4,60.6,yes,15-30 min,no,group study,65.2,57.8,58.1,57.5,d
9174,9175,16,other,public,post graduate,3.2,62.4,yes,30-60 min,yes,textbook,44.4,55.4,56.7,46.8,e
9175,9176,19,male,public,no formal,6.6,92.5,yes,15-30 min,yes,coaching,77.5,100.0,82.9,84.7,c
9176,9177,14,male,private,post graduate,1.4,73.1,yes,>60 min,no,online videos,19.1,37.5,44.9,36.0,f
9177,9178,17,male,public,no formal,5.0,69.8,yes,<15 min,yes,coaching,66.9,80.4,51.9,61.3,d
9178,9179,15,other,private,diploma,5.8,73.5,yes,>60 min,no,notes,91.9,86.2,100.0,85.3,b
9179,9180,19,female,public,graduate,5.0,62.8,yes,15-30 min,yes,online videos,85.4,65.9,90.8,67.7,d
9180,9181,19,male,public,high school,2.6,54.4,yes,30-60 min,no,mixed,38.3,35.5,44.2,34.0,f
9181,9182,15,female,public,post graduate,6.4,98.9,yes,>60 min,yes,textbook,87.4,80.8,100.0,95.7,a
9182,9183,19,other,public,post graduate,6.5,64.6,yes,<15 min,yes,notes,74.8,65.3,74.0,73.8,c
9183,9184,16,male,private,graduate,3.2,75.6,yes,30-60 min,yes,coaching,55.3,46.6,68.2,57.0,d
9184,9185,19,female,private,graduate,2.5,52.9,yes,15-30 min,no,coaching,58.9,47.7,44.1,47.5,e
9185,9186,18,male,public,phd,5.5,57.5,yes,30-60 min,no,online videos,79.9,74.2,81.5,68.2,d
9186,9187,14,male,private,graduate,3.3,55.1,no,30-60 min,no,coaching,65.9,36.5,27.1,42.0,e
9187,9188,15,female,public,high school,3.1,52.6,yes,>60 min,yes,textbook,53.0,79.7,44.6,54.6,e
9188,9189,16,female,private,graduate,3.9,82.5,yes,15-30 min,yes,group study,78.4,50.8,80.3,66.5,d
9189,9190,15,female,private,diploma,3.9,50.8,yes,>60 min,yes,notes,74.3,47.5,53.9,59.5,d
9190,9191,14,male,private,no formal,6.7,72.8,yes,>60 min,no,coaching,86.9,86.8,80.6,79.4,c
9191,9192,19,female,private,phd,7.6,83.2,yes,>60 min,no,mixed,87.7,89.1,74.6,92.7,b
9192,9193,19,female,public,post graduate,5.9,68.2,yes,15-30 min,no,online videos,71.3,55.1,78.8,75.2,c
9193,9194,16,female,public,graduate,1.2,57.5,yes,>60 min,no,group study,31.1,27.9,13.8,23.2,f
9194,9195,15,female,private,post graduate,3.0,61.2,yes,<15 min,no,notes,55.4,53.0,40.4,49.5,e
9195,9196,15,male,public,graduate,1.9,57.7,yes,30-60 min,no,online videos,29.3,44.0,35.5,41.8,e
9196,9197,19,male,private,diploma,5.5,64.8,yes,<15 min,yes,notes,56.6,67.1,60.6,67.5,d
9197,9198,15,other,private,phd,5.0,67.8,yes,>60 min,yes,mixed,72.6,67.4,66.9,67.6,d
9198,9199,14,female,public,graduate,7.9,69.8,no,15-30 min,no,coaching,73.3,100.0,94.2,96.1,a
9199,9200,16,female,public,diploma,3.9,61.2,yes,>60 min,yes,online videos,67.1,75.6,51.8,65.2,d
9200,9201,16,other,private,post graduate,1.3,61.7,yes,30-60 min,yes,online videos,21.6,35.2,34.6,27.7,f
9201,9202,17,male,public,no formal,5.0,82.0,no,>60 min,no,group study,72.4,92.5,74.5,81.5,c
9202,9203,16,other,private,high school,3.3,51.2,yes,<15 min,yes,coaching,40.1,44.7,46.2,45.3,e
